atletas.slug,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,CA,FC,FD,FF,FS,G,I,PE,RB,DD,GS,SG,A,FT,DP,GC,PP,CV
lepu,97522,3,265,mei,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xandao,101626,3,265,zag,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rodrigo-alves,98184,3,265,ata,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jaques,104128,3,265,zag,Nulo,0,1,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ignacio,103523,3,265,zag,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
douglas-borel,104634,3,265,lat,Nulo,0,1,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
matheus-silva,101035,3,265,lat,Nulo,0,3,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ramires,103295,3,265,mei,Provável,0.5,12.32,-1.22,3.67,Bahia,NA,NA,1,2,2,NA,1,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA
caique,104591,3,265,ata,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fernando-castro,102609,3,265,gol,Nulo,0,2,0,0,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gilson,52674,3,263,lat,Dúvida,7.2,5.52,2.06,1.75,Botafogo,1,2,NA,NA,3,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA,NA
