atletas.slug,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,CA,FC,FD,FF,FS,G,I,PE,RB,DD,GS,SG,A,FT,DP,GC,PP,CV
odair-hellmann,92273,3,285,tec,Provável,2.62,8.11,-0.24,3.48,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
manga-escobar,71704,3,341,ata,Nulo,0,4,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
klaus,90846,3,285,zag,Nulo,0,4,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jonatan-alvez,92377,3,285,ata,Nulo,0,6.17,0,3.9,Internacional,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
keiller,93834,3,285,gol,Nulo,0,2,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nonato,100987,3,285,mei,Nulo,0,4.38,0,1.7,Internacional,NA,2,NA,1,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
daniel,96468,3,285,gol,Nulo,0,3,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
carlos-miguel,104084,3,285,gol,Nulo,0,1,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sarrafiore,101315,3,285,mei,Nulo,-2.7,3.27,-1.81,1.27,Internacional,1,4,1,1,1,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dudu,97133,3,285,lat,Nulo,0,3,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caetano,103575,3,264,lat,Nulo,0,1,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jhon-cley,78652,3,341,mei,Nulo,0,4,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fabricio-oya,105046,3,264,mei,Nulo,0,2,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
henrique,37694,3,283,mei,Provável,1.4,6.56,-1.42,1.45,Cruzeiro,NA,4,NA,NA,2,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
joao-victor,104250,3,264,zag,Nulo,0,2,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fred,38162,3,283,ata,Provável,2.8,7.26,0.1,1.87,Cruzeiro,1,4,1,4,5,NA,1,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
mano-menezes,37281,3,283,tec,Provável,4.11,9.4,-0.02,3.81,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pedro-rosa,79053,3,341,lat,Nulo,0,2,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-fuchs,104085,3,285,zag,Nulo,0,2,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
celsinho,72494,3,341,lat,Nulo,0,4,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thiaguinho,102599,3,264,mei,Nulo,0,3,0,0,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
naldo,78897,3,341,mei,Provável,3,2.82,0.74,1.4,CSA,NA,4,1,1,NA,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
rafinha,38421,3,283,mei,Nulo,0,6.73,0,2.7,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
roberto,104086,3,285,zag,Nulo,0,2.98,0,3.3,Internacional,NA,NA,NA,NA,3,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
alexandre-cajuru,80276,3,341,gol,Contundido,0,3,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
everson,72294,3,277,gol,Nulo,0,8,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leo,50459,3,283,zag,Provável,0.5,7.28,-1.11,3.25,Cruzeiro,NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
egidio,42145,3,283,lat,Dúvida,7.8,9.17,0.17,7.8,Cruzeiro,NA,NA,1,1,1,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA
pedro-lucas,104087,3,285,ata,Nulo,0,4,0,0,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lohan,82609,3,341,ata,Nulo,0,1,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
patrick-fabiano,80275,3,341,ata,Nulo,0,6.73,0,1.7,CSA,NA,2,NA,2,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
edilson,38523,3,283,lat,Provável,0,7.6,0,4.5,Cruzeiro,1,3,NA,NA,3,NA,NA,5,3,NA,NA,1,NA,1,NA,NA,NA,NA
rafinha,83681,3,341,lat,Nulo,0,4,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
robinho,62104,3,283,mei,Provável,0.5,7.27,-1.06,2.35,Cruzeiro,NA,4,1,2,3,NA,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
victor-ferraz,70046,3,277,lat,Provável,11.5,9.63,3.02,5.03,Santos,NA,1,NA,1,4,NA,NA,9,7,NA,NA,1,NA,NA,NA,NA,NA,NA
dawhan,97780,3,341,mei,Provável,3.9,7.42,0.72,3.2,CSA,NA,1,NA,1,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
dodo,68727,3,283,lat,Dúvida,0,6.87,0,2.45,Cruzeiro,NA,4,NA,1,1,NA,NA,8,2,NA,NA,1,NA,NA,NA,NA,NA,NA
matheus-savio,91264,3,341,mei,Provável,3.3,8.58,-0.36,5.77,CSA,NA,2,1,1,5,1,1,4,3,NA,NA,NA,NA,1,NA,NA,NA,NA
rafael,68928,3,283,gol,Nulo,0,6,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eduardo-sasha,70360,3,277,ata,Provável,0.9,16.89,-1.91,9.13,Santos,NA,5,1,3,2,2,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
bryan-ruiz,71019,3,277,mei,Nulo,0,4,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-ramires,89924,3,341,mei,Nulo,0.2,3.81,-0.37,1.3,CSA,1,4,NA,1,1,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
jorge-sampaoli,70800,3,277,tec,Provável,4.68,10.31,0.33,4.55,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alison,73974,3,277,mei,Nulo,0,5.55,0,3,Santos,1,3,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
gerson,104089,3,341,zag,Provável,6.2,4.32,1.82,2.2,CSA,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA
derlis-gonzalez,75372,3,277,ata,Nulo,-1.3,0.73,0.04,-5.15,Santos,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
copete,77959,3,277,ata,Nulo,0,6,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rony,101040,3,341,zag,Nulo,0,2,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
carlos-sanchez,81677,3,277,mei,Provável,0,12.42,0,4.6,Santos,NA,2,NA,1,1,1,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
abel-braga,40006,3,262,tec,Provável,1.79,9.85,-0.63,3.34,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
matheus-ribeiro,82943,3,277,lat,Nulo,0,3,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
robinho,99574,3,341,ata,Nulo,0,3.19,0,0.6,CSA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
luiz-felipe,79035,3,277,zag,Nulo,0,7,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cueva,82411,3,277,mei,Nulo,0,7.23,-1.16,0.5,Santos,NA,2,NA,NA,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
soteldo,87258,3,277,mei,Nulo,-1.8,3.52,-1.2,-0.03,Santos,2,4,3,2,3,NA,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
joao-paulo,85425,3,277,gol,Nulo,0,2,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joelson,101512,3,341,mei,Nulo,0,1,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gustavo-henrique,78248,3,277,zag,Provável,5.2,5.12,1.09,2.1,Santos,1,3,2,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA
jorge,88065,3,277,lat,Provável,5.6,10.4,0.39,6,Santos,1,3,5,2,5,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA
lucas-verissimo,93368,3,277,zag,Provável,2,6.77,-0.12,2.6,Santos,1,6,NA,NA,1,NA,1,9,7,NA,NA,1,NA,NA,NA,NA,NA,NA
bruno-alves,73620,3,276,zag,Provável,-0.8,5.02,-0.98,0.93,São Paulo,NA,10,NA,1,1,NA,NA,5,2,NA,NA,1,NA,NA,NA,NA,NA,NA
maicon,38196,3,284,mei,Provável,-0.3,9.68,-1.98,3.25,Grêmio,1,1,NA,1,1,NA,NA,6,3,NA,NA,NA,1,NA,NA,NA,NA,NA
aguilar,95494,3,277,zag,Provável,4,4.45,0.85,1.73,Santos,NA,5,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA
victor-paraiba,102457,3,341,ata,Nulo,2,1.4,0.4,2,CSA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diego-pituca,94156,3,277,mei,Provável,0.6,1.2,-0.06,-0.9,Santos,2,7,NA,NA,6,NA,NA,14,2,NA,NA,NA,NA,1,NA,NA,NA,NA
arthur-gomes,96966,3,315,ata,Nulo,0,4,0,0,Chapecoense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vital,102452,3,341,zag,Nulo,0,1,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orinho,95542,3,277,lat,Nulo,0,3,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alan-cardoso,93785,3,277,lat,Nulo,0,3,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yuri-lima,90569,3,277,mei,Nulo,0,3,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
igo,104991,3,341,gol,Nulo,0,1,0,0,CSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diego,38909,3,262,mei,Nulo,-1.1,5.52,-1.41,0.17,Flamengo,2,4,2,NA,4,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
jean-lucas,98517,3,277,mei,Nulo,3.8,11.43,0.04,6.03,Santos,NA,3,2,1,6,NA,NA,7,5,NA,NA,NA,1,1,NA,NA,NA,NA
marquinhos-gabriel,68954,3,283,mei,Contundido,0,4.46,0,0.6,Cruzeiro,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
lucas-silva,79701,3,283,mei,Provável,5.6,5,1.38,1.7,Cruzeiro,NA,1,2,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
rodrygo,100651,3,277,ata,Provável,9.1,12.04,1.46,8.4,Santos,1,3,5,3,5,NA,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
sassa,79578,3,283,ata,Nulo,0,8,0,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
felippe-cardoso,100963,3,277,ata,Nulo,0,3,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yuri-alberto,100652,3,277,ata,Nulo,0,2,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
matheus-ferraz,38632,3,266,zag,Provável,13.9,6.62,4.36,4.3,Fluminense,1,3,2,2,1,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
ariel-cabral,80363,3,283,mei,Nulo,0,3.23,0,-0.9,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruninho,105111,3,277,ata,Nulo,0,2,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
airton,61985,3,266,mei,Provável,1.5,4.49,-0.09,0.77,Fluminense,1,1,NA,NA,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
jadson,80129,3,283,mei,Nulo,0,3.75,-0.59,0,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rhodolfo,42501,3,262,zag,Nulo,0,4.63,0,-1,Flamengo,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
everton-ribeiro,51772,3,262,mei,Provável,0,13.93,0,4.5,Flamengo,NA,1,NA,NA,3,NA,NA,5,3,NA,NA,NA,1,NA,NA,NA,NA,NA
para,62086,3,262,lat,Provável,0,5.21,0,1.7,Flamengo,1,3,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
rodrigo-caio,73800,3,262,zag,Provável,0,7.91,0,1.4,Flamengo,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
digao,68886,3,266,zag,Contundido,0,7,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rodinei,73992,3,262,lat,Nulo,-2,2.95,-2.05,-2,Flamengo,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fernando-diniz,72391,3,266,tec,Provável,6.19,5.91,1.41,2.9,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bruno-silva,68698,3,266,mei,Provável,7.9,9.58,1.59,5.33,Fluminense,NA,4,1,2,7,NA,NA,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
gabriel-calabres,101911,3,277,mei,Nulo,0,2,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
felipe-jonatan,101708,3,277,lat,Nulo,0,9.99,0,9.4,Santos,NA,NA,1,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cesar,78086,3,262,gol,Provável,7.5,5.44,1.84,3.5,Flamengo,NA,NA,NA,NA,1,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA
lucas-lourenco,101580,3,277,mei,Nulo,0,2,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
guilherme-nunes,101912,3,277,mei,Nulo,0,2,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uribe,78415,3,262,ata,Nulo,0,7,0,0,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kaique-rocha,103684,3,277,zag,Nulo,0,2,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
paulo-ricardo,88224,3,266,zag,Contundido,0,3,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
luciano,80287,3,266,ata,Provável,16.1,7.24,4.77,4.87,Fluminense,1,5,3,3,6,1,2,8,3,NA,NA,NA,1,NA,NA,NA,1,NA
igor-juliao,81951,3,266,lat,Nulo,3.5,3.36,0.36,3.5,Fluminense,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
dodi,89883,3,266,mei,Nulo,0,3,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anderson-ceara,103724,3,277,mei,Nulo,0,1,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pablo-dyego,86444,3,266,ata,Nulo,0,2.17,0,0,Fluminense,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
willian-arao,78478,3,262,mei,Provável,0,14.14,0,8,Flamengo,NA,1,NA,NA,1,NA,NA,5,5,NA,NA,NA,2,NA,NA,NA,NA,NA
vitinho,78435,3,262,ata,Nulo,0,9,0,0,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tailson,104578,3,277,ata,Nulo,0,1,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kaio-jorge,103445,3,277,ata,Nulo,0,1,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wagner-leonardo,104994,3,277,zag,Nulo,0,1,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sandry,104580,3,277,mei,Nulo,0,1,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marlon,91706,3,266,lat,Nulo,0,4,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
luiz-fernando,90366,3,266,mei,Nulo,0,2,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jackson-porozo,105112,3,277,zag,Nulo,0,1,0,0,Santos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hudson,50324,3,276,mei,Provável,1.4,11.33,-0.97,5.1,São Paulo,NA,5,1,NA,4,1,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
nene,38913,3,276,mei,Nulo,0,8,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nino,91708,3,266,zag,Provável,-0.6,0.73,0.01,-0.57,Fluminense,1,1,NA,NA,1,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
daniel,93791,3,266,mei,Dúvida,0.9,3.93,-1.07,0.9,Fluminense,NA,2,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anderson-martins,52618,3,276,zag,Provável,-2.5,2.48,-1.28,-2.75,São Paulo,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jucilei,63422,3,276,mei,Nulo,0,8,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
willian-farias,63058,3,276,mei,Nulo,0,3,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marcos-calazans,97452,3,266,ata,Nulo,0,3,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pedro,94583,3,266,ata,Dúvida,9,11.75,1.48,6.07,Fluminense,NA,2,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
joao-rojas,70784,3,276,ata,Contundido,0,7,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tiago-volpi,72018,3,276,gol,Provável,1,6.22,-0.28,1.03,São Paulo,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2,1,NA,NA,NA,NA,NA,NA
bruno-peres,73962,3,276,lat,Nulo,0,5,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yony-gonzalez,97080,3,266,ata,Provável,18.8,13.59,5.32,8.3,Fluminense,NA,2,NA,4,5,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
berrio,85300,3,262,ata,Nulo,9.5,7.57,1.57,9.5,Flamengo,NA,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
arrascaeta,87863,3,262,mei,Provável,0,13.75,0,6.55,Flamengo,NA,1,NA,1,6,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
leo-santos,95820,3,266,zag,Contundido,0,6,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allan,96652,3,266,mei,Provável,2.7,2.72,0.75,0.57,Fluminense,1,6,2,2,3,NA,NA,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
biro-biro,80949,3,276,ata,Nulo,0,3,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
frazan,97528,3,266,zag,Contundido,0,3,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caio-henrique,98569,3,266,mei,Provável,1.2,4.37,-0.23,1.1,Fluminense,NA,3,NA,1,2,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
thiago,91194,3,262,gol,Nulo,0,3,0,0,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caio,101601,3,266,mei,Nulo,0,2,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jean,90933,3,276,gol,Nulo,0,5,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ronaldo,92981,3,262,mei,Nulo,1.7,3.48,-0.52,1.7,Flamengo,1,5,NA,NA,1,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ze-ricardo,102911,3,266,mei,Nulo,0,1,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mascarenhas,99721,3,266,lat,Contundido,0,3,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leo-duarte,94214,3,262,zag,Provável,0,2.56,0,-0.65,Flamengo,1,5,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
mateus-goncalves,103076,3,354,ata,Nulo,-0.9,2.6,-1.4,-0.9,Ceará,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
leo,85626,3,276,lat,Nulo,0,5,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trauco,95738,3,262,lat,Nulo,-1,3.29,-1.71,-1,Flamengo,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
piris-da-motta,95802,3,262,mei,Nulo,0.5,3.8,-1.2,0.5,Flamengo,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joao-pedro,104026,3,266,ata,Nulo,0,1.39,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marcos-paulo,103645,3,266,ata,Nulo,0,2,0,0,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arboleda,91573,3,276,zag,Contundido,0,8.5,0,2.45,São Paulo,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA
rafael,97902,3,262,zag,Nulo,-1.2,0.73,-0.27,-1.2,Flamengo,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wellington-paulista,38279,3,356,ata,Provável,1.6,10.63,-0.97,4.93,Fortaleza,NA,9,1,3,4,1,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA
everton-felipe,86519,3,276,mei,Nulo,0,3,0,0,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marcelo-boeck,37788,3,356,gol,Nulo,0,5,0,0,Fortaleza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
osvaldo,42222,3,356,ata,Provável,1.1,4.79,-0.51,1.93,Fortaleza,1,3,2,NA,2,NA,NA,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA
roger-carvalho,51415,3,356,zag,Nulo,0,5.25,0,2.05,Fortaleza,NA,NA,NA,NA,1,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
